week,skill_name,skill_group,count_lag1,count_lag2,count_lag3,total_job_lag1,ai_percent_lag1,companion_name,companion_lag1
5,jenkins,cloud_devops,,,,,,gitlab ci,
6,jenkins,cloud_devops,7,,,55,27.27272727,gitlab ci,5
7,jenkins,cloud_devops,3,7,,67,25.37313433,gitlab ci,2
8,jenkins,cloud_devops,10,3,7,100,18,gitlab ci,4
9,jenkins,cloud_devops,4,10,3,58,15.51724138,gitlab ci,2
10,jenkins,cloud_devops,19,4,10,208,16.34615385,gitlab ci,10
11,jenkins,cloud_devops,15,19,4,218,24.31192661,gitlab ci,11
12,jenkins,cloud_devops,20,15,19,220,15.90909091,gitlab ci,8
13,jenkins,cloud_devops,12,20,15,193,25.38860104,gitlab ci,8
14,jenkins,cloud_devops,12,12,20,167,20.35928144,gitlab ci,6
15,jenkins,cloud_devops,15,12,12,186,20.43010753,gitlab ci,9
5,jest,framework,,,,,,,0
6,jest,framework,1,,,55,27.27272727,,0
7,jest,framework,4,1,,67,25.37313433,,0
8,jest,framework,5,4,1,100,18,,0
9,jest,framework,0,5,4,58,15.51724138,,0
10,jest,framework,1,0,5,208,16.34615385,,0
11,jest,framework,4,1,0,218,24.31192661,,0
12,jest,framework,1,4,1,220,15.90909091,,0
13,jest,framework,3,1,4,193,25.38860104,,0
14,jest,framework,2,3,1,167,20.35928144,,0
15,jest,framework,3,2,3,186,20.43010753,,0
5,jira,platform,,,,,,,0
6,jira,platform,10,,,55,27.27272727,,0
7,jira,platform,8,10,,67,25.37313433,,0
8,jira,platform,14,8,10,100,18,,0
9,jira,platform,5,14,8,58,15.51724138,,0
10,jira,platform,19,5,14,208,16.34615385,,0
11,jira,platform,24,19,5,218,24.31192661,,0
12,jira,platform,31,24,19,220,15.90909091,,0
13,jira,platform,22,31,24,193,25.38860104,,0
14,jira,platform,19,22,31,167,20.35928144,,0
15,jira,platform,13,19,22,186,20.43010753,,0
5,jmeter,framework,,,,,,,0
6,jmeter,framework,1,,,55,27.27272727,,0
7,jmeter,framework,1,1,,67,25.37313433,,0
8,jmeter,framework,1,1,1,100,18,,0
9,jmeter,framework,3,1,1,58,15.51724138,,0
10,jmeter,framework,4,3,1,208,16.34615385,,0
11,jmeter,framework,4,4,3,218,24.31192661,,0
12,jmeter,framework,4,4,4,220,15.90909091,,0
13,jmeter,framework,0,4,4,193,25.38860104,,0
14,jmeter,framework,1,0,4,167,20.35928144,,0
15,jmeter,framework,5,1,0,186,20.43010753,,0
5,jquery,framework,,,,,,,0
6,jquery,framework,2,,,55,27.27272727,,0
7,jquery,framework,2,2,,67,25.37313433,,0
8,jquery,framework,2,2,2,100,18,,0
9,jquery,framework,0,2,2,58,15.51724138,,0
10,jquery,framework,3,0,2,208,16.34615385,,0
11,jquery,framework,11,3,0,218,24.31192661,,0
12,jquery,framework,5,11,3,220,15.90909091,,0
13,jquery,framework,1,5,11,193,25.38860104,,0
14,jquery,framework,4,1,5,167,20.35928144,,0
15,jquery,framework,3,4,1,186,20.43010753,,0
5,junit,framework,,,,,,,0
6,junit,framework,1,,,55,27.27272727,,0
7,junit,framework,4,1,,67,25.37313433,,0
8,junit,framework,2,4,1,100,18,,0
9,junit,framework,0,2,4,58,15.51724138,,0
10,junit,framework,3,0,2,208,16.34615385,,0
11,junit,framework,1,3,0,218,24.31192661,,0
12,junit,framework,2,1,3,220,15.90909091,,0
13,junit,framework,3,2,1,193,25.38860104,,0
14,junit,framework,1,3,2,167,20.35928144,,0
15,junit,framework,3,1,3,186,20.43010753,,0
5,jwt,platform,,,,,,oauth,
6,jwt,platform,3,,,55,27.27272727,oauth,3
7,jwt,platform,0,3,,67,25.37313433,oauth,2
8,jwt,platform,3,0,3,100,18,oauth,7
9,jwt,platform,1,3,0,58,15.51724138,oauth,3
10,jwt,platform,6,1,3,208,16.34615385,oauth,5
11,jwt,platform,15,6,1,218,24.31192661,oauth,13
12,jwt,platform,9,15,6,220,15.90909091,oauth,4
13,jwt,platform,2,9,15,193,25.38860104,oauth,4
14,jwt,platform,9,2,9,167,20.35928144,oauth,9
15,jwt,platform,3,9,2,186,20.43010753,oauth,2
5,kafka,platform,,,,,,redis,
6,kafka,platform,6,,,55,27.27272727,redis,9
7,kafka,platform,9,6,,67,25.37313433,redis,9
8,kafka,platform,10,9,6,100,18,redis,11
9,kafka,platform,3,10,9,58,15.51724138,redis,1
10,kafka,platform,18,3,10,208,16.34615385,redis,25
11,kafka,platform,31,18,3,218,24.31192661,redis,28
12,kafka,platform,27,31,18,220,15.90909091,redis,28
13,kafka,platform,25,27,31,193,25.38860104,redis,19
14,kafka,platform,16,25,27,167,20.35928144,redis,14
15,kafka,platform,18,16,25,186,20.43010753,redis,12
5,kotlin,program_language,,,,,,,0
6,kotlin,program_language,2,,,55,27.27272727,,0
7,kotlin,program_language,3,2,,67,25.37313433,,0
8,kotlin,program_language,5,3,2,100,18,,0
9,kotlin,program_language,1,5,3,58,15.51724138,,0
10,kotlin,program_language,9,1,5,208,16.34615385,,0
11,kotlin,program_language,7,9,1,218,24.31192661,,0
12,kotlin,program_language,9,7,9,220,15.90909091,,0
13,kotlin,program_language,11,9,7,193,25.38860104,,0
14,kotlin,program_language,7,11,9,167,20.35928144,,0
15,kotlin,program_language,4,7,11,186,20.43010753,,0
5,kubernetes,cloud_devops,,,,,,ansible,
6,kubernetes,cloud_devops,6,,,55,27.27272727,ansible,2
7,kubernetes,cloud_devops,9,6,,67,25.37313433,ansible,3
8,kubernetes,cloud_devops,21,9,6,100,18,ansible,2
9,kubernetes,cloud_devops,8,21,9,58,15.51724138,ansible,2
10,kubernetes,cloud_devops,42,8,21,208,16.34615385,ansible,7
11,kubernetes,cloud_devops,30,42,8,218,24.31192661,ansible,3
12,kubernetes,cloud_devops,31,30,42,220,15.90909091,ansible,10
13,kubernetes,cloud_devops,37,31,30,193,25.38860104,ansible,7
14,kubernetes,cloud_devops,24,37,31,167,20.35928144,ansible,7
15,kubernetes,cloud_devops,31,24,37,186,20.43010753,ansible,13
5,langchain,framework,,,,,,,0
6,langchain,framework,2,,,55,27.27272727,,0
7,langchain,framework,3,2,,67,25.37313433,,0
8,langchain,framework,2,3,2,100,18,,0
9,langchain,framework,1,2,3,58,15.51724138,,0
10,langchain,framework,6,1,2,208,16.34615385,,0
11,langchain,framework,6,6,1,218,24.31192661,,0
12,langchain,framework,5,6,6,220,15.90909091,,0
13,langchain,framework,6,5,6,193,25.38860104,,0
14,langchain,framework,4,6,5,167,20.35928144,,0
15,langchain,framework,5,4,6,186,20.43010753,,0
5,langgraph,framework,,,,,,,0
6,langgraph,framework,1,,,55,27.27272727,,0
7,langgraph,framework,0,1,,67,25.37313433,,0
8,langgraph,framework,0,0,1,100,18,,0
9,langgraph,framework,0,0,0,58,15.51724138,,0
10,langgraph,framework,1,0,0,208,16.34615385,,0
11,langgraph,framework,1,1,0,218,24.31192661,,0
12,langgraph,framework,2,1,1,220,15.90909091,,0
13,langgraph,framework,3,2,1,193,25.38860104,,0
14,langgraph,framework,1,3,2,167,20.35928144,,0
15,langgraph,framework,2,1,3,186,20.43010753,,0
5,laravel,framework,,,,,,php,
6,laravel,framework,3,,,55,27.27272727,php,3
7,laravel,framework,0,3,,67,25.37313433,php,2
8,laravel,framework,2,0,3,100,18,php,5
9,laravel,framework,1,2,0,58,15.51724138,php,6
10,laravel,framework,7,1,2,208,16.34615385,php,10
11,laravel,framework,8,7,1,218,24.31192661,php,17
12,laravel,framework,1,8,7,220,15.90909091,php,11
13,laravel,framework,4,1,8,193,25.38860104,php,7
14,laravel,framework,0,4,1,167,20.35928144,php,3
15,laravel,framework,4,0,4,186,20.43010753,php,9
5,linq,framework,,,,,,,0
6,linq,framework,0,,,55,27.27272727,,0
7,linq,framework,0,0,,67,25.37313433,,0
8,linq,framework,3,0,0,100,18,,0
9,linq,framework,0,3,0,58,15.51724138,,0
10,linq,framework,2,0,3,208,16.34615385,,0
11,linq,framework,1,2,0,218,24.31192661,,0
12,linq,framework,1,1,2,220,15.90909091,,0
13,linq,framework,1,1,1,193,25.38860104,,0
14,linq,framework,3,1,1,167,20.35928144,,0
15,linq,framework,1,3,1,186,20.43010753,,0
5,linux,platform,,,,,,windows,
6,linux,platform,6,,,55,27.27272727,windows,5
7,linux,platform,9,6,,67,25.37313433,windows,3
8,linux,platform,10,9,6,100,18,windows,5
9,linux,platform,12,10,9,58,15.51724138,windows,4
10,linux,platform,22,12,10,208,16.34615385,windows,12
11,linux,platform,21,22,12,218,24.31192661,windows,8
12,linux,platform,22,21,22,220,15.90909091,windows,11
13,linux,platform,24,22,21,193,25.38860104,windows,9
14,linux,platform,20,24,22,167,20.35928144,windows,14
15,linux,platform,23,20,24,186,20.43010753,windows,10
5,llamaindex,framework,,,,,,,0
6,llamaindex,framework,1,,,55,27.27272727,,0
7,llamaindex,framework,3,1,,67,25.37313433,,0
8,llamaindex,framework,2,3,1,100,18,,0
9,llamaindex,framework,1,2,3,58,15.51724138,,0
10,llamaindex,framework,3,1,2,208,16.34615385,,0
11,llamaindex,framework,1,3,1,218,24.31192661,,0
12,llamaindex,framework,2,1,3,220,15.90909091,,0
13,llamaindex,framework,3,2,1,193,25.38860104,,0
14,llamaindex,framework,3,3,2,167,20.35928144,,0
15,llamaindex,framework,2,3,3,186,20.43010753,,0
5,mariadb,database,,,,,,,0
6,mariadb,database,2,,,55,27.27272727,,0
7,mariadb,database,1,2,,67,25.37313433,,0
8,mariadb,database,0,1,2,100,18,,0
9,mariadb,database,0,0,1,58,15.51724138,,0
10,mariadb,database,1,0,0,208,16.34615385,,0
11,mariadb,database,7,1,0,218,24.31192661,,0
12,mariadb,database,3,7,1,220,15.90909091,,0
13,mariadb,database,0,3,7,193,25.38860104,,0
14,mariadb,database,3,0,3,167,20.35928144,,0
15,mariadb,database,1,3,0,186,20.43010753,,0
5,mlflow,framework,,,,,,,0
6,mlflow,framework,0,,,55,27.27272727,,0
7,mlflow,framework,1,0,,67,25.37313433,,0
8,mlflow,framework,1,1,0,100,18,,0
9,mlflow,framework,1,1,1,58,15.51724138,,0
10,mlflow,framework,1,1,1,208,16.34615385,,0
11,mlflow,framework,2,1,1,218,24.31192661,,0
12,mlflow,framework,2,2,1,220,15.90909091,,0
13,mlflow,framework,4,2,2,193,25.38860104,,0
14,mlflow,framework,2,4,2,167,20.35928144,,0
15,mlflow,framework,5,2,4,186,20.43010753,,0
5,mlops,cloud_devops,,,,,,,0
6,mlops,cloud_devops,0,,,55,27.27272727,,0
7,mlops,cloud_devops,3,0,,67,25.37313433,,0
8,mlops,cloud_devops,3,3,0,100,18,,0
9,mlops,cloud_devops,1,3,3,58,15.51724138,,0
10,mlops,cloud_devops,3,1,3,208,16.34615385,,0
11,mlops,cloud_devops,7,3,1,218,24.31192661,,0
12,mlops,cloud_devops,9,7,3,220,15.90909091,,0
13,mlops,cloud_devops,5,9,7,193,25.38860104,,0
14,mlops,cloud_devops,6,5,9,167,20.35928144,,0
15,mlops,cloud_devops,7,6,5,186,20.43010753,,0
5,mocha,framework,,,,,,,0
6,mocha,framework,1,,,55,27.27272727,,0
7,mocha,framework,1,1,,67,25.37313433,,0
8,mocha,framework,0,1,1,100,18,,0
9,mocha,framework,1,0,1,58,15.51724138,,0
10,mocha,framework,0,1,0,208,16.34615385,,0
11,mocha,framework,2,0,1,218,24.31192661,,0
12,mocha,framework,0,2,0,220,15.90909091,,0
13,mocha,framework,0,0,2,193,25.38860104,,0
14,mocha,framework,1,0,0,167,20.35928144,,0
15,mocha,framework,2,1,0,186,20.43010753,,0
5,mongodb,database,,,,,,redis,
6,mongodb,database,5,,,55,27.27272727,redis,9
7,mongodb,database,8,5,,67,25.37313433,redis,9
8,mongodb,database,12,8,5,100,18,redis,11
9,mongodb,database,4,12,8,58,15.51724138,redis,1
10,mongodb,database,24,4,12,208,16.34615385,redis,25
11,mongodb,database,14,24,4,218,24.31192661,redis,28
12,mongodb,database,24,14,24,220,15.90909091,redis,28
13,mongodb,database,24,24,14,193,25.38860104,redis,19
14,mongodb,database,18,24,24,167,20.35928144,redis,14
15,mongodb,database,14,18,24,186,20.43010753,redis,12
5,mysql,database,,,,,,php,
6,mysql,database,15,,,55,27.27272727,php,3
7,mysql,database,6,15,,67,25.37313433,php,2
8,mysql,database,9,6,15,100,18,php,5
9,mysql,database,5,9,6,58,15.51724138,php,6
10,mysql,database,36,5,9,208,16.34615385,php,10
11,mysql,database,32,36,5,218,24.31192661,php,17
12,mysql,database,42,32,36,220,15.90909091,php,11
13,mysql,database,27,42,32,193,25.38860104,php,7
14,mysql,database,23,27,42,167,20.35928144,php,3
15,mysql,database,23,23,27,186,20.43010753,php,9
5,nestjs,framework,,,,,,,0
6,nestjs,framework,4,,,55,27.27272727,,0
7,nestjs,framework,2,4,,67,25.37313433,,0
8,nestjs,framework,5,2,4,100,18,,0
9,nestjs,framework,1,5,2,58,15.51724138,,0
10,nestjs,framework,6,1,5,208,16.34615385,,0
11,nestjs,framework,6,6,1,218,24.31192661,,0
12,nestjs,framework,1,6,6,220,15.90909091,,0
13,nestjs,framework,7,1,6,193,25.38860104,,0
14,nestjs,framework,5,7,1,167,20.35928144,,0
15,nestjs,framework,2,5,7,186,20.43010753,,0
5,next.js,framework,,,,,,typescript,
6,next.js,framework,3,,,55,27.27272727,typescript,7
7,next.js,framework,3,3,,67,25.37313433,typescript,6
8,next.js,framework,7,3,3,100,18,typescript,20
9,next.js,framework,1,7,3,58,15.51724138,typescript,7
10,next.js,framework,8,1,7,208,16.34615385,typescript,30
11,next.js,framework,14,8,1,218,24.31192661,typescript,29
12,next.js,framework,3,14,8,220,15.90909091,typescript,25
13,next.js,framework,10,3,14,193,25.38860104,typescript,25
14,next.js,framework,4,10,3,167,20.35928144,typescript,15
15,next.js,framework,4,4,10,186,20.43010753,typescript,19
5,nginx,cloud_devops,,,,,,,0
6,nginx,cloud_devops,1,,,55,27.27272727,,0
7,nginx,cloud_devops,2,1,,67,25.37313433,,0
8,nginx,cloud_devops,1,2,1,100,18,,0
9,nginx,cloud_devops,3,1,2,58,15.51724138,,0
10,nginx,cloud_devops,5,3,1,208,16.34615385,,0
11,nginx,cloud_devops,4,5,3,218,24.31192661,,0
12,nginx,cloud_devops,3,4,5,220,15.90909091,,0
13,nginx,cloud_devops,2,3,4,193,25.38860104,,0
14,nginx,cloud_devops,6,2,3,167,20.35928144,,0
15,nginx,cloud_devops,5,6,2,186,20.43010753,,0
5,node.js,framework,,,,,,redis,
6,node.js,framework,10,,,55,27.27272727,redis,9
7,node.js,framework,9,10,,67,25.37313433,redis,9
8,node.js,framework,9,9,10,100,18,redis,11
9,node.js,framework,2,9,9,58,15.51724138,redis,1
10,node.js,framework,15,2,9,208,16.34615385,redis,25
11,node.js,framework,10,15,2,218,24.31192661,redis,28
12,node.js,framework,5,10,15,220,15.90909091,redis,28
13,node.js,framework,7,5,10,193,25.38860104,redis,19
14,node.js,framework,9,7,5,167,20.35928144,redis,14
15,node.js,framework,9,9,7,186,20.43010753,redis,12
5,nuxt,framework,,,,,,,0
6,nuxt,framework,0,,,55,27.27272727,,0
7,nuxt,framework,0,0,,67,25.37313433,,0
8,nuxt,framework,2,0,0,100,18,,0
9,nuxt,framework,1,2,0,58,15.51724138,,0
10,nuxt,framework,1,1,2,208,16.34615385,,0
11,nuxt,framework,3,1,1,218,24.31192661,,0
12,nuxt,framework,0,3,1,220,15.90909091,,0
13,nuxt,framework,2,0,3,193,25.38860104,,0
14,nuxt,framework,3,2,0,167,20.35928144,,0
15,nuxt,framework,1,3,2,186,20.43010753,,0
5,oauth,platform,,,,,,jwt,
6,oauth,platform,3,,,55,27.27272727,jwt,3
7,oauth,platform,2,3,,67,25.37313433,jwt,0
8,oauth,platform,7,2,3,100,18,jwt,3
9,oauth,platform,3,7,2,58,15.51724138,jwt,1
10,oauth,platform,5,3,7,208,16.34615385,jwt,6
11,oauth,platform,13,5,3,218,24.31192661,jwt,15
12,oauth,platform,4,13,5,220,15.90909091,jwt,9
13,oauth,platform,4,4,13,193,25.38860104,jwt,2
14,oauth,platform,9,4,4,167,20.35928144,jwt,9
15,oauth,platform,2,9,4,186,20.43010753,jwt,3
5,odoo,framework,,,,,,,0
5,odoo,framework,1,,,55,27.27272727,,0
5,odoo,platform,1,1,,55,27.27272727,,0
5,odoo,platform,1,1,1,55,27.27272727,,0
6,odoo,framework,1,1,1,55,27.27272727,,0
6,odoo,framework,1,1,1,67,25.37313433,,0
6,odoo,platform,1,1,1,67,25.37313433,,0
6,odoo,platform,1,1,1,67,25.37313433,,0
7,odoo,framework,1,1,1,67,25.37313433,,0
7,odoo,framework,1,1,1,100,18,,0
7,odoo,platform,1,1,1,100,18,,0
7,odoo,platform,1,1,1,100,18,,0
8,odoo,framework,1,1,1,100,18,,0
8,odoo,framework,0,1,1,58,15.51724138,,0
8,odoo,platform,0,0,1,58,15.51724138,,0
8,odoo,platform,0,0,0,58,15.51724138,,0
9,odoo,framework,0,0,0,58,15.51724138,,0
9,odoo,framework,3,0,0,208,16.34615385,,0
9,odoo,platform,3,3,0,208,16.34615385,,0
9,odoo,platform,3,3,3,208,16.34615385,,0
10,odoo,framework,3,3,3,208,16.34615385,,0
10,odoo,framework,4,3,3,218,24.31192661,,0
10,odoo,platform,4,4,3,218,24.31192661,,0
10,odoo,platform,4,4,4,218,24.31192661,,0
11,odoo,framework,4,4,4,218,24.31192661,,0
11,odoo,framework,0,4,4,220,15.90909091,,0
11,odoo,platform,0,0,4,220,15.90909091,,0
11,odoo,platform,0,0,0,220,15.90909091,,0
12,odoo,framework,0,0,0,220,15.90909091,,0
12,odoo,framework,1,0,0,193,25.38860104,,0
12,odoo,platform,1,1,0,193,25.38860104,,0
12,odoo,platform,1,1,1,193,25.38860104,,0
13,odoo,framework,1,1,1,193,25.38860104,,0
13,odoo,framework,1,1,1,167,20.35928144,,0
13,odoo,platform,1,1,1,167,20.35928144,,0
13,odoo,platform,1,1,1,167,20.35928144,,0
14,odoo,framework,1,1,1,167,20.35928144,,0
14,odoo,framework,1,1,1,186,20.43010753,,0
14,odoo,platform,1,1,1,186,20.43010753,,0
14,odoo,platform,1,1,1,186,20.43010753,,0
15,odoo,framework,1,1,1,186,20.43010753,,0
15,odoo,framework,1,1,1,263,20.91254753,,0
15,odoo,platform,1,1,1,263,20.91254753,,0
15,odoo,platform,1,1,1,263,20.91254753,,0
5,openai,platform,,,,,,,0
6,openai,platform,0,,,55,27.27272727,,0
7,openai,platform,2,0,,67,25.37313433,,0
8,openai,platform,2,2,0,100,18,,0
9,openai,platform,0,2,2,58,15.51724138,,0
10,openai,platform,4,0,2,208,16.34615385,,0
11,openai,platform,3,4,0,218,24.31192661,,0
12,openai,platform,3,3,4,220,15.90909091,,0
13,openai,platform,4,3,3,193,25.38860104,,0
14,openai,platform,7,4,3,167,20.35928144,,0
15,openai,platform,2,7,4,186,20.43010753,,0
5,openshift,cloud_devops,,,,,,,0
6,openshift,cloud_devops,0,,,55,27.27272727,,0
7,openshift,cloud_devops,0,0,,67,25.37313433,,0
8,openshift,cloud_devops,1,0,0,100,18,,0
9,openshift,cloud_devops,0,1,0,58,15.51724138,,0
10,openshift,cloud_devops,1,0,1,208,16.34615385,,0
11,openshift,cloud_devops,1,1,0,218,24.31192661,,0
12,openshift,cloud_devops,1,1,1,220,15.90909091,,0
13,openshift,cloud_devops,1,1,1,193,25.38860104,,0
14,openshift,cloud_devops,2,1,1,167,20.35928144,,0
15,openshift,cloud_devops,1,2,1,186,20.43010753,,0
5,opentelemetry,cloud_devops,,,,,,,0
6,opentelemetry,cloud_devops,1,,,55,27.27272727,,0
7,opentelemetry,cloud_devops,1,1,,67,25.37313433,,0
8,opentelemetry,cloud_devops,0,1,1,100,18,,0
9,opentelemetry,cloud_devops,0,0,1,58,15.51724138,,0
10,opentelemetry,cloud_devops,1,0,0,208,16.34615385,,0
11,opentelemetry,cloud_devops,0,1,0,218,24.31192661,,0
12,opentelemetry,cloud_devops,1,0,1,220,15.90909091,,0
13,opentelemetry,cloud_devops,2,1,0,193,25.38860104,,0
14,opentelemetry,cloud_devops,1,2,1,167,20.35928144,,0
15,opentelemetry,cloud_devops,3,1,2,186,20.43010753,,0
5,oracle,database,,,,,,sql server,
6,oracle,database,5,,,55,27.27272727,sql server,9
7,oracle,database,5,5,,67,25.37313433,sql server,6
8,oracle,database,5,5,5,100,18,sql server,7
9,oracle,database,5,5,5,58,15.51724138,sql server,3
10,oracle,database,15,5,5,208,16.34615385,sql server,19
11,oracle,database,11,15,5,218,24.31192661,sql server,16
12,oracle,database,22,11,15,220,15.90909091,sql server,28
13,oracle,database,15,22,11,193,25.38860104,sql server,18
14,oracle,database,15,15,22,167,20.35928144,sql server,21
15,oracle,database,16,15,15,186,20.43010753,sql server,19
5,others_cloud_devops,cloud_devops,,,,,,,0
6,others_cloud_devops,cloud_devops,1,,,55,27.27272727,,0
7,others_cloud_devops,cloud_devops,1,1,,67,25.37313433,,0
8,others_cloud_devops,cloud_devops,1,1,1,100,18,,0
9,others_cloud_devops,cloud_devops,1,1,1,58,15.51724138,,0
10,others_cloud_devops,cloud_devops,3,1,1,208,16.34615385,,0
11,others_cloud_devops,cloud_devops,4,3,1,218,24.31192661,,0
12,others_cloud_devops,cloud_devops,3,4,3,220,15.90909091,,0
13,others_cloud_devops,cloud_devops,3,3,4,193,25.38860104,,0
14,others_cloud_devops,cloud_devops,1,3,3,167,20.35928144,,0
15,others_cloud_devops,cloud_devops,2,1,3,186,20.43010753,,0
5,others_database,database,,,,,,,0
6,others_database,database,1,,,55,27.27272727,,0
7,others_database,database,0,1,,67,25.37313433,,0
8,others_database,database,1,0,1,100,18,,0
9,others_database,database,0,1,0,58,15.51724138,,0
10,others_database,database,2,0,1,208,16.34615385,,0
11,others_database,database,4,2,0,218,24.31192661,,0
12,others_database,database,3,4,2,220,15.90909091,,0
13,others_database,database,7,3,4,193,25.38860104,,0
14,others_database,database,2,7,3,167,20.35928144,,0
15,others_database,database,1,2,7,186,20.43010753,,0
5,others_framework,framework,,,,,,,0
6,others_framework,framework,6,,,55,27.27272727,,0
7,others_framework,framework,1,6,,67,25.37313433,,0
8,others_framework,framework,4,1,6,100,18,,0
9,others_framework,framework,3,4,1,58,15.51724138,,0
10,others_framework,framework,12,3,4,208,16.34615385,,0
11,others_framework,framework,9,12,3,218,24.31192661,,0
12,others_framework,framework,13,9,12,220,15.90909091,,0
13,others_framework,framework,9,13,9,193,25.38860104,,0
14,others_framework,framework,5,9,13,167,20.35928144,,0
15,others_framework,framework,11,5,9,186,20.43010753,,0
5,others_platform,platform,,,,,,,0
6,others_platform,platform,0,,,55,27.27272727,,0
7,others_platform,platform,0,0,,67,25.37313433,,0
8,others_platform,platform,2,0,0,100,18,,0
9,others_platform,platform,1,2,0,58,15.51724138,,0
10,others_platform,platform,3,1,2,208,16.34615385,,0
11,others_platform,platform,3,3,1,218,24.31192661,,0
12,others_platform,platform,5,3,3,220,15.90909091,,0
13,others_platform,platform,1,5,3,193,25.38860104,,0
14,others_platform,platform,6,1,5,167,20.35928144,,0
15,others_platform,platform,2,6,1,186,20.43010753,,0
5,php,program_language,,,,,,laravel,
6,php,program_language,3,,,55,27.27272727,laravel,3
7,php,program_language,2,3,,67,25.37313433,laravel,0
8,php,program_language,5,2,3,100,18,laravel,2
9,php,program_language,6,5,2,58,15.51724138,laravel,1
10,php,program_language,10,6,5,208,16.34615385,laravel,7
11,php,program_language,17,10,6,218,24.31192661,laravel,8
12,php,program_language,11,17,10,220,15.90909091,laravel,1
13,php,program_language,7,11,17,193,25.38860104,laravel,4
14,php,program_language,3,7,11,167,20.35928144,laravel,0
15,php,program_language,9,3,7,186,20.43010753,laravel,4
5,playwright,framework,,,,,,selenium,
6,playwright,framework,4,,,55,27.27272727,selenium,3
7,playwright,framework,2,4,,67,25.37313433,selenium,3
8,playwright,framework,4,2,4,100,18,selenium,6
9,playwright,framework,2,4,2,58,15.51724138,selenium,2
10,playwright,framework,5,2,4,208,16.34615385,selenium,11
11,playwright,framework,10,5,2,218,24.31192661,selenium,8
12,playwright,framework,8,10,5,220,15.90909091,selenium,7
13,playwright,framework,2,8,10,193,25.38860104,selenium,4
14,playwright,framework,10,2,8,167,20.35928144,selenium,10
15,playwright,framework,7,10,2,186,20.43010753,selenium,11
5,postgresql,database,,,,,,mongodb,
6,postgresql,database,16,,,55,27.27272727,mongodb,5
7,postgresql,database,11,16,,67,25.37313433,mongodb,8
8,postgresql,database,14,11,16,100,18,mongodb,12
9,postgresql,database,5,14,11,58,15.51724138,mongodb,4
10,postgresql,database,44,5,14,208,16.34615385,mongodb,24
11,postgresql,database,35,44,5,218,24.31192661,mongodb,14
12,postgresql,database,33,35,44,220,15.90909091,mongodb,24
13,postgresql,database,34,33,35,193,25.38860104,mongodb,24
14,postgresql,database,24,34,33,167,20.35928144,mongodb,18
15,postgresql,database,32,24,34,186,20.43010753,mongodb,14
5,powershell,cloud_devops,,,,,,,0
6,powershell,cloud_devops,2,,,55,27.27272727,,0
7,powershell,cloud_devops,0,2,,67,25.37313433,,0
8,powershell,cloud_devops,2,0,2,100,18,,0
9,powershell,cloud_devops,3,2,0,58,15.51724138,,0
10,powershell,cloud_devops,5,3,2,208,16.34615385,,0
11,powershell,cloud_devops,4,5,3,218,24.31192661,,0
12,powershell,cloud_devops,3,4,5,220,15.90909091,,0
13,powershell,cloud_devops,3,3,4,193,25.38860104,,0
14,powershell,cloud_devops,1,3,3,167,20.35928144,,0
15,powershell,cloud_devops,3,1,3,186,20.43010753,,0
5,python,program_language,,,,,,django,
6,python,program_language,20,,,55,27.27272727,django,1
7,python,program_language,23,20,,67,25.37313433,django,1
8,python,program_language,29,23,20,100,18,django,2
9,python,program_language,14,29,23,58,15.51724138,django,0
10,python,program_language,65,14,29,208,16.34615385,django,5
11,python,program_language,55,65,14,218,24.31192661,django,4
12,python,program_language,60,55,65,220,15.90909091,django,4
13,python,program_language,54,60,55,193,25.38860104,django,9
14,python,program_language,45,54,60,167,20.35928144,django,2
15,python,program_language,48,45,54,186,20.43010753,django,4
5,pytorch,framework,,,,,,tensorflow,
6,pytorch,framework,1,,,55,27.27272727,tensorflow,1
7,pytorch,framework,2,1,,67,25.37313433,tensorflow,2
8,pytorch,framework,3,2,1,100,18,tensorflow,2
9,pytorch,framework,2,3,2,58,15.51724138,tensorflow,2
10,pytorch,framework,7,2,3,208,16.34615385,tensorflow,8
11,pytorch,framework,8,7,2,218,24.31192661,tensorflow,8
12,pytorch,framework,8,8,7,220,15.90909091,tensorflow,7
13,pytorch,framework,6,8,8,193,25.38860104,tensorflow,6
14,pytorch,framework,5,6,8,167,20.35928144,tensorflow,4
15,pytorch,framework,8,5,6,186,20.43010753,tensorflow,7
5,qt,framework,,,,,,,0
6,qt,framework,1,,,55,27.27272727,,0
7,qt,framework,3,1,,67,25.37313433,,0
8,qt,framework,4,3,1,100,18,,0
9,qt,framework,3,4,3,58,15.51724138,,0
10,qt,framework,7,3,4,208,16.34615385,,0
11,qt,framework,2,7,3,218,24.31192661,,0
12,qt,framework,4,2,7,220,15.90909091,,0
13,qt,framework,1,4,2,193,25.38860104,,0
14,qt,framework,3,1,4,167,20.35928144,,0
15,qt,framework,1,3,1,186,20.43010753,,0
5,rag,platform,,,,,,,0
6,rag,platform,3,,,55,27.27272727,,0
7,rag,platform,5,3,,67,25.37313433,,0
8,rag,platform,2,5,3,100,18,,0
9,rag,platform,1,2,5,58,15.51724138,,0
10,rag,platform,8,1,2,208,16.34615385,,0
11,rag,platform,4,8,1,218,24.31192661,,0
12,rag,platform,10,4,8,220,15.90909091,,0
13,rag,platform,13,10,4,193,25.38860104,,0
14,rag,platform,6,13,10,167,20.35928144,,0
